## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB130929A	572308	7.08E-07	14.34	
GRB130925A	571830	4.03E-05	963	
GRB130919A	571271	1.51E-06	128.2	
GRB130913A	570531	1.26E-07	10.02	
GRB130912A	570465	1.75E-07	0.316	
GRB130907A	569992	1.36E-04	839.5	
GRB130831B	568855	1.46E-06	44.46	
GRB130831A	568849	6.50E-06	43.23	
GRB130829A	568417	1.27E-06	64.04	
GRB130822A	567163	1.22E-08	0.048	
GRB130816B	566561	2.87E-07	11.4	
GRB130816A	566545	4.27E-07	30.64	
GRB130812A	566228	6.27E-07	8.792	
GRB130807A	565651	2.22E-06	326	
GRB130806A	565562	1.66E-07	6.264	
GRB130803A	565263	1.40E-06	45.62	
GRB130727A	564342	3.84E-06	25.46	
GRB130725B	564028	3.75E-07	6.28	
GRB130725A	563980	9.77E-07	113.2	
GRB130722A	563213	1.30E-05	257	
GRB130719A	562625	2.10E-06	164.3	
GRB130716A	561974	3.29E-07	106.7	
GRB130708A	560515	1.14E-06	8.448	
GRB130701A	559482	4.51E-06	6.492	
GRB130627B	559139	8.25E-07	64	
GRB130627A	559132	7.66E-07	20.32	
GRB130626A	559075	6.02E-08	0.192	
GRB130625A	558982	1.86E-06	57.76	
GRB130623A	32867001	8.31E-07	19.98	
GRB130615A	558271	2.29E-06	361.3	
GRB130612A	557976	2.81E-07	4	
GRB130610A	557845	2.53E-06	69.48	
GRB130609B	557828	1.64E-05	317.7	
GRB130609A	557782	5.74E-07	8.464	
GRB130608A	557771	8.90E-07	156.9	
GRB130606A	557589	2.76E-06	298.3	
GRB130605A	557508	2.28E-06	13.82	
GRB130604A	557354	1.54E-06	96.21	
GRB130603B	557310	6.27E-07	0.252	
GRB130603A	557274	1.90E-06	125.8	
GRB130529A	556930	1.26E-06	110.3	
GRB130528A	556870	5.68E-06	720	
GRB130527A	556753	1.33E-05	176	
GRB130521A	556344	4.25E-07	13.28	
GRB130518B	556105	5.95E-07	6.479	
GRB130518A	556113	 N/A 	 N/A 	
GRB130515A	555880	1.50E-07	0.368	
GRB130514A	555821	9.00E-06	280.7	
GRB130511A	555600	1.74E-07	2.904	
GRB130508A	555413	6.14E-07	48.58	
GRB130505A	555163	3.47E-06	339.7	
GRB130504A	555096	1.19E-06	130.7	
GRB130502A	554996	4.31E-07	10.4	
GRB130427B	554635	1.45E-06	30.11	
GRB130427A	554620	3.73E-04	711.2	
GRB130420B	553996	7.18E-07	20.66	
GRB130420A	553977	7.59E-06	203.1	
GRB130419A	553918	8.44E-07	139.4	
GRB130418A	553847	1.77E-06	313.1	
GRB130408A	553132	1.67E-06	4.656	
GRB130327A	552063	2.27E-07	8.04	
GRB130315A	551126	4.53E-06	266.4	
GRB130313A	550906	2.95E-08	0.204	
GRB130306A	550457	2.97E-05	313.6	
GRB130305A	550329	 N/A 	 N/A 	
GRB130216B	548918	2.15E-06	10.01	
GRB130216A	548927	3.05E-06	10.47	
GRB130215A	548760	5.40E-06	79.55	
GRB130211A	548276	6.52E-07	35.72	
GRB130206A	547918	1.97E-06	156	
GRB130131B	547420	3.38E-07	4.648	
GRB130131A	547407	3.06E-07	53.02	
GRB130122A	546731	8.35E-07	89.09	
GRB130102A	544784	8.38E-07	169	
GRB121229A	544347	8.40E-07	146.5	
GRB121226A	544027	1.42E-07	1.16	
GRB121217A	542441	6.17E-06	801.5	
GRB121212A	541371	1.39E-07	8.112	
GRB121211A	541200	1.27E-06	197.1	
GRB121209A	540964	2.87E-06	46.88	
GRB121202A	540255	1.13E-06	21.19	
GRB121201A	540178	7.20E-07	46	
GRB121128A	539866	6.10E-06	41.69	
GRB121125A	539563	4.60E-06	86.82	
GRB121123A	539358	1.32E-05	425.5	
GRB121117A	538696	1.08E-06	29.6	
GRB121108A	537921	9.54E-07	138.2	
GRB121102A	537266	2.05E-06	75.21	
GRB121031A	537195	7.95E-06	307.3	
GRB121028A	536897	3.35E-07	3.284	
GRB121027A	536831	2.20E-06	144.7	
GRB121024A	536580	1.10E-06	82.37	
GRB121017A	536172	6.56E-07	5.28	
GRB121014A	535960	1.07E-06	80	
GRB121011A	535764	2.33E-06	117	
GRB121001A	535026	1.71E-06	170.7	
GRB120927A	534815	2.48E-06	69.07	
GRB120923A	534402	3.89E-07	29.57	
GRB120922A	534394	5.52E-06	238.3	
GRB120918A	534015	3.09E-06	26.78	
GRB120913B	533613	1.11E-05	162.5	
GRB120913A	533568	8.80E-07	40.52	
GRB120911A	533268	1.06E-06	25.72	
GRB120909A	533060	7.50E-06	598.2	
GRB120907A	532871	5.88E-07	6.96	
GRB120819A	531428	1.40E-06	78.59	
GRB120817B	531259	 N/A 	 N/A 	
GRB120817A	531267	6.92E-07	33.02	
GRB120816A	531223	3.73E-07	4.784	
GRB120815A	531003	4.92E-07	12.21	
GRB120811C	530689	3.05E-06	41.06	
GRB120811A	530581	7.53E-07	36.38	
GRB120807A	530267	2.92E-07	24.4	
GRB120805A	530031	8.41E-07	48	
GRB120804A	529686	8.78E-07	0.996	
GRB120803B	529606	1.91E-06	54.73	
GRB120803A	529582	2.81E-07	9.992	
GRB120802A	529486	1.74E-06	63.63	
GRB120729A	529095	2.51E-06	144.9	
GRB120728A	529021	2.39E-06	24.18	
GRB120724A	528443	8.00E-07	98.63	
GRB120722A	528195	1.33E-06	42.94	
GRB120714B	526642	1.25E-06	175.4	
