## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB120804A	529686	0.996	0.000000878
GRB120803B	529606	54.73	1.84E-06
GRB120803A	529582	9.992	0.000000281
GRB120802A	529486	63.63	1.64E-06
GRB120729A	529095	144.9	0.00000251
GRB120728A	529021	24.18	0.00000239
GRB120724A	528443	98.63	0.0000008
GRB120722A	528195	42.94	0.00000133
GRB120714B	526642	175.4	0.00000125
GRB120714A	526593	24	0.000000891
GRB120712A	526351	21.1	0.00000184
GRB120711B	526270	63.49	0.000000587
GRB120703A	525671	77.1	0.00000379
GRB120701A	525477	15.37	0.00000145
GRB120630A	525451	0.64	6.02E-08
GRB120624B	525068	207.9	0.0000296
GRB120612A	524128	108.4	0.0000013
GRB120521C	522656	32.9	0.0000012
GRB120521B	522586	169.7	0.00000207
GRB120521A	522578	0.576	7.86E-08
GRB120514A	522197	174.3	0.0000028
GRB120422A	520658	62.4	0.000000322
GRB120403B	519256	8.288	0.000000208
GRB120403A	519211	1.592	0.000000107
GRB120401A	519043	145.7	0.000000921
GRB120327A	518731	90.36	0.00000357
GRB120326A	518626	90.58	2.52E-06
GRB120324A	518507	293	0.00001
GRB120320A	518200	29.87	5.53E-07
GRB120312A	517566	17.34	0.000000567
GRB120311B	517489	37.7	0.00000104
GRB120311A	517469	4.604	0.000000296
GRB120308A	517234	82.96	0.00000117
GRB120305A	516997	0.128	0.000000199
GRB120302A	516694	8.247	0.00000037
GRB120229A	516571	0.276	4.14E-08
GRB120224A	515976	8	0.000000216
GRB120219A	515375	98.19	0.000000683
GRB120215A	515015	9.976	0.000000255
GRB120213A	514767	80.77	0.00000186
GRB120212A	514709	6	0.000000475
GRB120211A	514586	73.98	0.000000862
GRB120121A	512164	30.78	1.07E-06
GRB120119A	512035	227	0.000017
GRB120118B	512003	29.4	0.00000175
GRB120116A	511866	60.01	2.88E-06
GRB120114A	511739	8.101	0.000000773
GRB120106A	511235	68.92	0.000000991
GRB120102A	510922	53.17	0.00000432
GRB111229A	510736	27.23	0.000000336
GRB111228A	510649	128.2	0.00000827
GRB111225A	510341	121.3	0.00000126
GRB111215A	509717	409.4	0.00000271
GRB111212A	509543	68.42	0.00000139
GRB111210A	509419	2.688	0.000000164
GRB111209A	509337	979.7	0.0000365
GRB111208A	509285	10.08	0.000000959
GRB111207A	509245	10.09	0.000000166
GRB111204A	509018	48	0.00000047
GRB111201A	508800	9.498	0.000000445
GRB111129A	508712	8.984	0.000000182
GRB111126A	48079001	0.712	6.69E-08
GRB111123A	508319	490	0.0000071
GRB111117A	507901	0.496	0.000000145
GRB111109A	507342	14	0.000000243
GRB111107A	507185	37.55	0.000000912
GRB111103B	506903	257.3	0.00000791
GRB111103A	506902	12.56	0.0000014
GRB111029A	506519	8.472	0.000000422
GRB111026A	506291	4.132	0.000000167
GRB111022B	506074	106.8	0.000000898
