##GRBname	bestmodel
GRB100316D	 PL
GRB100316C	 PL
GRB100316B	 PL
GRB100316A	 PL
GRB100305A	 PL
GRB100302A	 PL
GRB100224A	 N/A
GRB100219A	 N/A
GRB100216A	 PL
GRB100213B	 PL
GRB100213A	 PL
GRB100212A	 PL
GRB100206A	 PL
GRB100205A	 PL
GRB100203A	 PL
GRB100119A	 N/A
GRB100117A	 PL
GRB100115A	 N/A
GRB100111A	 PL
GRB091221	 PL
GRB091208B	 PL
GRB091208A	 PL
GRB091130B	 PL
GRB091127	 PL
GRB091117	 PL
GRB091112	 PL
GRB091109B	 PL
GRB091109A	 PL
GRB091104	 PL
GRB091102	 PL
GRB091029	 CPL
GRB091026	 PL
GRB091024	 PL
GRB091020	 PL
GRB091018	 PL
GRB090929B	 PL
GRB090929A	 PL
GRB090927	 N/A
GRB090926B	 CPL
GRB090916	 PL
GRB090915	 PL
GRB090912	 CPL
GRB090904B	 PL
GRB090904A	 PL
GRB090831C	 PL
GRB090827	 N/A
GRB090823	 PL
GRB090815C	 PL
GRB090814A	 PL
GRB090813	 PL
GRB090812	 PL
GRB090809A	 PL
GRB090807A	 N/A
GRB090728	 PL
GRB090727	 PL
GRB090726	 PL
GRB090720A	 N/A
GRB090715B	 PL
GRB090715A	 PL
GRB090712	 PL
GRB090709B	 PL
GRB090709A	 PL
GRB090708	 PL
GRB090628	 PL
GRB090621B	 N/A
GRB090621A	 PL
GRB090618	 PL
GRB090607	 N/A
GRB090531B	 PL
GRB090531A	 CPL
GRB090530	 PL
GRB090529A	 PL
GRB090520	 PL
GRB090519	 PL
GRB090518	 PL
GRB090516A	 PL
GRB090515	 PL
GRB090510	 PL
GRB090509	 PL
GRB090429B	 CPL
GRB090429A	 PL
GRB090426	 PL
GRB090424	 CPL
GRB090423	 CPL
GRB090422	 PL
GRB090419	 PL
GRB090418A	 PL
GRB090418B	 PL
GRB090417B	 PL
GRB090417A	 N/A
GRB090410	 PL
GRB090407	 PL
GRB090404	 PL
GRB090401B	 PL
GRB090401A	 PL
GRB090313	 PL
GRB090309A	 PL
GRB090308A	 PL
GRB090307A	 PL
GRB090306B	 PL
GRB090305A	 PL
GRB090301A	 PL
GRB090205	 PL
GRB090201	 CPL
GRB090129	 PL
GRB090123	 PL
GRB090118	 PL
GRB090113	 PL
GRB090111	 PL
GRB090107A	 PL
GRB090102	 PL
GRB081230	 PL
GRB081228	 PL
GRB081226A	 PL
GRB081222	 PL
GRB081221	 CPL
GRB081211A	 PL
GRB081211B	 PL
GRB081210	 PL
GRB081203A	 PL
GRB081203B	 PL
GRB081128	 CPL
GRB081127	 PL
GRB081126	 PL
GRB081121	 PL
GRB081118	 PL
GRB081109A	 N/A
GRB081105A	 N/A
GRB081104	 PL
GRB081102	 PL
GRB081101	 CPL
GRB081029	 PL
GRB081028A	 PL
GRB081025	 PL
GRB081024A	 N/A
GRB081022	 PL
GRB081017	 PL
GRB081016B	 PL
GRB081012	 PL
GRB081011	 PL
GRB081008	 PL
GRB081007	 PL
GRB080928	 PL
GRB080919	 PL
GRB080916B	 PL
GRB080916A	 CPL
GRB080915B	 N/A
GRB080915A	 PL
GRB080913	 PL
GRB080906	 PL
GRB080905B	 PL
GRB080905A	 PL
GRB080903	 PL
GRB080822B	 N/A
GRB080810	 PL
GRB080805	 PL
GRB080804	 PL
GRB080802	 PL
GRB080727C	 CPL
GRB080727B	 PL
GRB080727A	 PL
GRB080725	 PL
GRB080723A	 N/A
GRB080721	 PL
GRB080714	 PL
GRB080710	 PL
GRB080707	 PL
GRB080703	 PL
GRB080702A	 PL
GRB080702B	 PL
GRB080701	 PL
GRB080623	 PL
GRB080613B	 PL
GRB080607	 PL
GRB080605	 CPL
GRB080604	 PL
GRB080603B	 CPL
GRB080602	 PL
GRB080524	 PL
GRB080523	 N/A
GRB080520	 N/A
GRB080517	 PL
GRB080516	 PL
GRB080515	 PL
GRB080506	 PL
GRB080503	 PL
GRB080430	 PL
GRB080426	 PL
GRB080413B	 PL
GRB080413A	 N/A
GRB080411	 PL
GRB080409	 PL
GRB080405	 PL
GRB080330	 PL
GRB080328	 PL
GRB080325	 PL
GRB080320	 PL
GRB080319D	 PL
GRB080319C	 PL
GRB080319B	 PL
GRB080319A	 PL
GRB080315	 N/A
GRB080310	 PL
GRB080307	 PL
GRB080303	 N/A
GRB080229A	 PL
GRB080218B	 PL
GRB080218A	 PL
GRB080212	 CPL
GRB080210	 PL
GRB080207	 PL
GRB080205	 PL
GRB080130	 PL
GRB080129	 PL
GRB080123	 PL
GRB080121	 N/A
GRB071227	 PL
GRB071129	 PL
GRB071122	 N/A
GRB071118	 PL
GRB071117	 CPL
GRB071112B	 N/A
GRB071112C	 N/A
GRB071101	 PL
GRB071031	 PL
GRB071028A	 PL
GRB071028B	 N/A
GRB071025	 PL
GRB071021	 N/A
GRB071020	 PL
GRB071018	 PL
GRB071013	 PL
GRB071011	 N/A
GRB071010B	 PL
GRB071010A	 PL
GRB071010C	 N/A
GRB071008	 PL
GRB071006	 N/A
GRB071003	 PL
GRB071001	 PL
GRB070923	 N/A
GRB070920B	 CPL
GRB070920A	 PL
GRB070917	 PL
GRB070913	 PL
GRB070911	 PL
GRB070810B	 PL
GRB070810A	 N/A
GRB070809	 PL
GRB070808	 PL
GRB070805	 PL
GRB070802	 PL
GRB070731	 PL
GRB070729	 PL
GRB070724A	 PL
GRB070721B	 PL
GRB070721A	 PL
GRB070714B	 PL
GRB070714A	 PL
GRB070704	 PL
GRB070628	 PL
GRB070621	 PL
GRB070616	 PL
GRB070612B	 PL
GRB070612A	 PL
GRB070611	 PL
GRB070531	 PL
GRB070529	 PL
GRB070521	 PL
GRB070520B	 PL
GRB070520A	 N/A
GRB070518	 PL
GRB070517	 N/A
GRB070509	 PL
GRB070508	 PL
GRB070506	 N/A
GRB070429B	 PL
GRB070429A	 PL
GRB070427	 PL
GRB070420	 CPL
GRB070419B	 PL
GRB070419A	 PL
