## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB150402A	636865000	1.39E-07	8.07	 PL
GRB150323C	636005	1.15E-06	189.8	 PL
GRB150323B	635929	3.03E-06	10.11	 PL
GRB150323A	635887	5.54E-06	192.9	 PL
GRB150318A	635289	2.31E-06	119.5	 PL
GRB150317A	635148	6.53E-07	24.43	 PL
GRB150314A	634795	4.18E-06	103.6	 PL
GRB150309A	634200	1.74E-05	316.4	 CPL
GRB150302A	633237	2.35E-07	29.38	 PL
GRB150301B	633180	1.68E-06	24.98	 N/A
GRB150301A	632995	7.46E-08	0.56	 PL
GRB150222A	632180	2.12E-06	28.05	 PL
GRB150213B	631051	2.89E-06	287	 PL
GRB150212A	630876	8.85E-07	19.78	 PL
GRB150211A	630714	6.45E-06	20.8	 N/A
GRB150206A	630019	1.47E-05	411.9	 PL
GRB150204A	84702002	8.78E-07	19	 PL
GRB150203A	629578	9.17E-07	29.53	 PL
GRB150202A	629547	6.29E-07	28.29	 PL
GRB150201A	629302	6.97E-07	30.03	 PL
GRB150120B	627170	5.01E-07	28.18	 PL
GRB150120A	627137	1.45E-07	1.356	 PL
GRB150110B	624606	4.63E-07	11.71	 PL
GRB150103A	623368	8.25E-07	58.62	 PL
GRB150101B	91964035	 N/A 	0.016	 N/A
GRB150101A	623158	1.51E-08	0.068	 N/A
GRB141229A	85478004	 N/A 	 N/A 	 N/A
GRB141225A	622476	2.82E-06	124.9	 PL
GRB141221A	622006	2.02E-06	44.44	 N/A
GRB141220A	621915	2.56E-06	8.204	 CPL
GRB141212B	621234	1.15E-06	12.2	 PL
GRB141212A	621229	7.16E-08	0.336	 PL
GRB141205A	620534	1.89E-08	2.624	 N/A
GRB141130A	620090	2.71E-06	82.76	 PL
GRB141121A	619182	4.17E-06	552.7	 PL
GRB141109B	618032	8.05E-07	227.2	 PL
GRB141109A	618024	6.63E-06	322.6	 PL
GRB141102A	617316	 N/A 	 N/A 	 N/A
GRB141031B	617149	1.19E-07	17.26	 PL
GRB141031A	617110	3.47E-06	910.7	 PL
GRB141026A	616502	1.24E-06	166.9	 PL
GRB141022A	616061	4.61E-07	9.556	 N/A
GRB141020A	615873	4.14E-07	18.84	 PL
GRB141017A	615672	2.98E-06	66.8	 CPL
GRB141015A	615399	1.54E-07	13	 PL
GRB141005A	614415	1.08E-06	4.176	 PL
GRB141004A	614390	 N/A 	6.188	 PL
GRB140930B	614094	4.24E-07	0.956	 N/A
GRB140927A	613775	 N/A 	8.268	 PL
GRB140919A	613160	5.97E-06	173.1	 PL
GRB140916A	612804	1.40E-06	79.97	 PL
GRB140909A	612132	 N/A 	 N/A 	 N/A
GRB140907A	611933	4.44E-06	144	 PL
GRB140903A	611599	 N/A 	0.36	 N/A
GRB140901B	611389	5.16E-07	4.8	 PL
GRB140828A	610953	1.37E-06	25.02	 CPL
GRB140824A	610501	1.84E-07	3.376	 PL
GRB140818B	609885	6.46E-07	35.26	 PL
GRB140817A	609736	4.51E-06	318.9	 PL
GRB140730A	607742	2.78E-07	44.54	 PL
GRB140719B	605700	1.22E-06	65	 PL
GRB140719A	605612	4.16E-07	48	 N/A
GRB140716A-2 	604793	3.23E-06	10.1	#N/A
GRB140716A-1 	604792	 N/A 	7.46	#N/A
GRB140713A	604232	3.65E-07	6.784	 N/A
GRB140710A	603954	2.09E-07	4	 PL
