##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]
GRB060805A	2.363	4.93	5.74	7.31E-08	0.31	2.18E-08
GRB060729	0.543	113.04	127.6	2.61E-06	1.15	7.60E-08
GRB060719	1.532	66.92	84.96	1.53E-06	2.15	1.39E-07
GRB060714	2.711	116.06	134.2	2.88E-06	1.27	9.69E-08
GRB060708	1.92	10.03	14.44	4.99E-07	1.91	1.56E-07
GRB060707	3.424	66.64	74.4	1.58E-06	1.08	7.59E-08
GRB060614	0.125	109.1	180.6	1.88E-05	11.49	8.37E-07
GRB060607A	3.075	103.03	125.9	2.57E-06	1.4	1.28E-07
GRB060605	3.773	79.84	85.28	7.11E-07	0.47	4.73E-08
GRB060602A	0.787	74.84	82.62	1.61E-06	0.56	3.72E-08
GRB060526	3.221	298.04	310.5	1.29E-06	1.67	1.38E-07
GRB060522	5.11	69.12	77.16	1.13E-06	0.54	3.41E-08
GRB060512	2.1	8.4	9.29	2.31E-07	0.89	4.15E-08
GRB060510B	4.941	262.94	300.4	3.98E-06	0.57	4.51E-08
GRB060502A	1.503	28.45	44.63	2.33E-06	1.73	1.67E-07
GRB060428B	0.348	96	128	8.44E-07	0.31	1.72E-08
GRB060418	1.49	109.08	219.1	8.40E-06	6.56	4.99E-07
GRB060319	1.172	10.29	12.43	2.65E-07	1.07	6.20E-08
GRB060306	1.559	60.94	68.27	2.15E-06	5.92	4.70E-07
GRB060223A	4.41	11.32	12.96	6.74E-07	1.35	9.94E-08
GRB060210	3.912	288	368	7.68E-06	1.2	1.18E-07
GRB060206	4.056	7.55	14.26	8.42E-07	2.78	2.01E-07
GRB060204B	2.339	139.46	195	2.93E-06	1.33	1.03E-07
GRB060202	0.783	192.88	217	2.22E-06	0.53	4.24E-08
GRB060124	2.3	13.42	14.75	4.65E-07	0.86	6.33E-08
GRB060117	4.6	16.85	28.26	2.10E-05	48.49	3.68E-06
GRB060116	6.6	104.83	114.4	2.39E-06	1.17	9.10E-08
GRB060115	3.533	139.09	159	1.71E-06	0.86	7.20E-08
GRB060111A	2.32	13.21	18.23	1.20E-06	1.71	1.33E-07
GRB060108	2.03	14.22	17.25	3.72E-07	0.75	5.28E-08
GRB051117B	0.481	9.02	9.61	1.75E-07	0.5	3.81E-08
GRB051111	1.549	64	96	4.27E-06	1.83	1.62E-07
GRB051109B	0.08	15.7	18.96	2.65E-07	0.57	3.70E-08
GRB051109A	2.346	37.2	44.3	2.17E-06	3.88	3.01E-07
GRB051016B	0.936	4	4.5	1.67E-07	1.29	8.25E-08
GRB051006	1.059	35.41	40.94	1.35E-06	1.68	1.37E-07
GRB051001	2.43	190.26	224.7	1.76E-06	0.48	3.55E-08
GRB050922C	2.2	4.55	6.8	1.62E-06	7.09	5.84E-07
GRB050922B	4.5	157.02	249.2	2.37E-06	1.09	9.03E-08
GRB050915A	2.527	53.42	65.98	8.36E-07	0.76	7.33E-08
GRB050908	3.347	18.28	22.66	4.83E-07	0.7	5.33E-08
GRB050904	6.295	181.58	230.5	5.21E-06	0.63	5.38E-08
GRB050826	0.296	29.6	39.79	4.20E-07	0.37	3.17E-08
GRB050824	0.828	25.01	27.15	2.78E-07	0.48	3.25E-08
GRB050822	1.434	104.29	135.2	2.51E-06	2.23	1.38E-07
GRB050820A	2.615	240.77	261.4	3.83E-06	2.44	2.27E-07
GRB050819	2.504	37.72	47.3	3.48E-07	0.4	2.62E-08
GRB050814	5.3	142.85	180	1.91E-06	0.67	4.83E-08
GRB050803	3.5	88.12	105.5	2.16E-06	0.96	8.15E-08
GRB050802	1.71	27.46	33.47	2.21E-06	2.66	2.21E-07
GRB050801	1.38	19.57	25.64	3.09E-07	1.47	1.18E-07
GRB050730	3.969	154.6	177.8	2.36E-06	0.56	4.60E-08
GRB050726	0.165	46.5	56.46	1.96E-06	1.37	1.25E-07
GRB050714B	2.438	49.36	54.76	6.30E-07	0.55	3.38E-08
GRB050603	2.821	21	41	8.21E-06	0.76	1.81E-06
GRB050525A	0.606	8.84	12.8	1.51E-05	43.85	3.48E-06
GRB050505	4.275	58.85	62.57	2.49E-06	1.84	1.67E-07
GRB050502B	5.2	17.72	20.49	4.72E-07	1.39	1.06E-07
GRB050416A	0.653	6.67	9.45	4.13E-07	4.86	2.22E-07
GRB050406	2.7	5.78	6.4	7.77E-08	0.34	1.77E-08
GRB050401	2.898	32.09	33.71	8.09E-06	12.17	1.10E-06
GRB050319	3.243	151.58	161.9	1.33E-06	1.46	8.90E-08
GRB050318	1.444	16.12	30.34	1.04E-06	3.13	2.16E-07
GRB050315	1.95	95.4	125.2	3.17E-06	1.89	1.12E-07
GRB050223	0.584	22.68	28.58	6.48E-07	0.65	5.04E-08
GRB050219A	0.212	23.81	36.21	4.08E-06	3.43	3.09E-07
GRB050215B	2.52	11.04	15.44	2.35E-07	0.67	5.06E-08
GRB050126	1.29	48	48	8.85E-07	0.31	2.72E-08
