## GRBname 	 Trig_ID 	 15_150kev 
GRB130515A   	555880	1.41E-07
GRB130514A   	555821	2.23E-07
GRB130511A   	555600	9.85E-08
GRB130508A   	555413	5.01E-08
GRB130505A   	555163	 N/A 
GRB130504A   	555096	6.24E-08
GRB130502A   	554996	2.00E-07
GRB130427B   	554635	2.51E-07
GRB130427A   	554620	3.78E-05
GRB130420B   	553996	1.18E-07
GRB130420A   	553977	2.30E-07
GRB130419A   	553918	4.20E-08
GRB130418A   	553847	3.35E-08
GRB130408A   	553132	3.45E-07
GRB130327A   	552063	5.97E-08
GRB130315A   	551126	8.84E-08
GRB130313A   	550906	3.90E-08
GRB130306A   	550457	4.90E-07
GRB130305A   	550329	 N/A 
GRB130216B   	548918	4.03E-07
GRB130216A   	548927	6.21E-07
GRB130215A   	548760	1.85E-07
GRB130211A   	548276	5.61E-08
GRB130206A   	547918	6.23E-08
GRB130131B   	547420	7.76E-08
GRB130131A   	547407	4.97E-08
GRB130122A   	546731	3.05E-08
GRB130102A   	544784	2.85E-08
GRB121229A   	544347	3.51E-08
GRB121226A   	544027	1.28E-07
GRB121217A   	542441	1.34E-07
GRB121212A   	541371	4.52E-08
GRB121211A   	541200	9.84E-08
GRB121209A   	540964	3.35E-07
GRB121202A   	540255	8.42E-08
GRB121201A   	540178	5.92E-08
GRB121128A   	539866	1.08E-06
GRB121125A   	539563	2.21E-07
GRB121123A   	539358	2.07E-07
GRB121117A   	538696	9.55E-08
GRB121108A   	537921	1.05E-07
GRB121102A   	537266	1.71E-07
GRB121031A   	537195	2.32E-07
GRB121028A   	536897	1.27E-07
GRB121027A   	536831	9.14E-08
GRB121024A   	536580	1.25E-07
GRB121017A   	536172	2.32E-07
GRB121014A   	535960	2.30E-08
GRB121011A   	535764	1.14E-07
GRB121001A   	535026	3.21E-08
GRB120927A   	534815	1.18E-07
GRB120923A   	534402	4.14E-08
GRB120922A   	534394	1.06E-07
GRB120918A   	534015	3.62E-07
GRB120913B   	533613	2.69E-07
GRB120913A   	533568	1.36E-07
GRB120911A   	533268	1.93E-07
GRB120909A   	533060	1.69E-07
GRB120907A   	532871	2.28E-07
GRB120819A   	531428	7.80E-08
GRB120817B   	531259	 N/A 
GRB120817A   	531267	6.76E-08
GRB120816A   	531223	1.26E-07
GRB120815A   	531003	1.41E-07
GRB120811C   	530689	2.78E-07
GRB120811A   	530581	6.08E-08
GRB120807A   	530267	5.22E-08
GRB120805A   	530031	1.22E-08
GRB120804A   	529686	8.78E-07
GRB120803B   	529606	1.28E-07
GRB120803A   	529582	4.49E-08
GRB120802A   	529486	2.15E-07
GRB120729A   	529095	2.06E-07
GRB120728A   	529021	1.45E-07
GRB120724A   	528443	4.38E-08
GRB120722A   	528195	7.57E-08
GRB120714B   	526642	2.23E-08
GRB120714A   	526593	9.11E-08
GRB120712A   	526351	2.10E-07
GRB120711B   	526270	4.42E-08
GRB120703A   	525671	9.64E-07
GRB120701A   	525477	1.65E-07
GRB120630A   	525451	5.83E-08
GRB120624B   	525068	5.23E-07
GRB120612A   	524128	4.49E-08
GRB120521C   	522656	1.66E-07
GRB120521B   	522586	5.92E-08
GRB120521A   	522578	8.82E-08
GRB120514A   	522197	1.70E-07
GRB120422A   	520658	5.37E-08
GRB120404A   	519380	7.62E-08
GRB120403B   	519256	7.84E-08
GRB120403A   	519211	7.51E-08
GRB120401A   	519043	4.21E-08
GRB120328A   	518792	5.85E-08
GRB120327A   	518731	3.28E-07
GRB120326A   	518626	3.10E-07
GRB120324A   	518507	5.13E-07
GRB120320A   	518200	4.53E-08
GRB120312A   	517566	8.13E-08
GRB120311B   	517489	8.51E-08
GRB120311A   	517469	1.83E-07
GRB120308A   	517234	4.15E-08
GRB120305A   	516997	2.04E-07
GRB120302A   	516694	8.23E-08
GRB120229A   	516571	4.25E-08
GRB120224A   	515976	4.39E-08
GRB120219A   	515375	2.51E-08
GRB120218A   	515277	 N/A 
